setting,n,m,Cox_negll,AM_negll,LT_negll,Flex_negll,Cox_npar,AM_npar,LT_npar,Flex_npar
1,2000,2000,-0.9513567286057915,-0.8203721213633925,-0.8906878988589033,-0.9541556820396309,14,10,15,22
1,2000,2000,-0.9942251841255174,-0.8729178992145549,-0.9011253664180876,-1.0014818325402322,14,10,15,22
1,2000,2000,-0.557109520131089,-0.4681756937610535,-0.49930961661364065,-0.5651106096909607,14,10,15,22
1,2000,2000,-0.795047503967593,-0.7033456958874312,-0.7191182003516774,-0.8000174809326559,14,10,15,22
1,2000,2000,-1.1767772935557668,-1.0586910489771013,-1.0357890424003127,-1.1801631879339958,14,10,15,22
1,2000,2000,-1.082765508975047,-0.9570040770576247,-1.0054716239753207,-1.0975773050623607,14,10,15,22
1,2000,2000,-1.0246335257140387,-0.9079798878656884,-0.9122076978057985,-1.0276715413333468,14,10,15,22
1,2000,2000,-0.9366957511955744,-0.8343370242370234,-0.8443962781206501,-0.9429941532992093,14,10,15,22
1,2000,2000,-1.17235404477676,-1.062065459319917,-1.0936362221274138,-1.178189212417807,14,10,15,22
1,2000,2000,-0.9394685660704936,-0.8490974648933943,-0.8659859087232853,-0.9503371076397079,14,10,15,22
1,2000,2000,-1.0125086391065405,-0.892333809788604,-0.955564055679973,-1.018939315668716,14,10,15,22
1,2000,2000,-0.8789476929781321,-0.7616462160145565,-0.8028614947454443,-0.8829619698455635,14,10,15,22
1,2000,2000,-0.8520972824283944,-0.7161820765519132,-0.8035692606537241,-0.8589703134928208,14,10,15,22
1,2000,2000,-1.2997229818348937,-1.1695496254877402,-1.2118192043355993,-1.301555786303231,14,10,15,22
1,2000,2000,-0.7876985671403063,-0.6945895648685086,-0.7225894367907081,-0.7925218975070475,14,10,15,22
1,2000,2000,-0.9775328849443313,-0.8641022472993863,-0.8704914564500882,-0.9836605717087368,14,10,15,22
1,4000,4000,-0.9864709452689708,-0.8810048742076019,-0.9130764309395395,-0.9878150855851554,15,11,16,24
1,4000,4000,-1.162444876563884,-1.0320772395781155,-1.093439861486234,-1.1650693566410086,15,11,16,24
1,4000,4000,-0.8841305107240051,-0.7691763750837818,-0.8192602526770493,-0.886003411590943,15,11,16,24
1,4000,4000,-0.754869455102109,-0.6726370971177152,-0.6905839133322579,-0.7577338135439341,15,11,16,24
1,4000,4000,-0.9246238602939884,-0.8080612098433471,-0.8519921951706274,-0.9269834851682254,15,11,16,24
1,4000,4000,-0.7728370258058167,-0.6589951282896322,-0.7075287961422874,-0.7757392349896363,15,11,16,24
1,4000,4000,-0.7189648042690419,-0.6149452726592198,-0.6706793372273592,-0.7235444649623296,15,11,16,24
1,4000,4000,-0.9516781307373212,-0.8378869574040596,-0.8655604921188597,-0.9532599025332466,15,11,16,24
1,4000,4000,-0.8805418504254681,-0.7749810081233295,-0.7979495305699366,-0.8834379187406607,15,11,16,24
1,4000,4000,-0.7490903226518558,-0.6422214418295111,-0.6843144036370713,-0.7522053355714661,15,11,16,24
1,4000,4000,-0.9624560821026853,-0.8405915883666603,-0.8786959704818968,-0.9657097503866994,15,11,16,24
1,4000,4000,-0.840595656136084,-0.7211020208847357,-0.7659322737191105,-0.8429312341128866,15,11,16,24
1,4000,4000,-1.0026413384437924,-0.8878801375519629,-0.9323938758637578,-1.0061695609054995,15,11,16,24
1,4000,4000,-1.0389697206049828,-0.9258926743531233,-0.9624433332186341,-1.041879029179957,15,11,16,24
1,4000,4000,-0.6860543606323295,-0.5764726684635447,-0.621570192285772,-0.6889231499406138,15,11,16,24
1,4000,4000,-0.9229781160282445,-0.8033048272305,-0.8479199480830121,-0.9255097489508416,15,11,16,24
1,4000,4000,-0.8157512341666489,-0.7170688291836381,-0.7562403347006816,-0.8191328438931059,15,11,16,24
1,4000,4000,-0.819925608896885,-0.7073083971628298,-0.7517674550258471,-0.8230544596272235,15,11,16,24
1,4000,4000,-0.7671312575756701,-0.6598761411989772,-0.7084981436683092,-0.774947292018458,15,11,16,24
1,4000,4000,-0.891565579449284,-0.7792975392455541,-0.8214332638786804,-0.8966456240356706,15,11,16,24
1,4000,4000,-0.8969114085941119,-0.7642960178868502,-0.8274884443535848,-0.8992002848278061,15,11,16,24
1,4000,4000,-0.7993283524681452,-0.701638370954689,-0.7283338625712313,-0.8033624619689735,15,11,16,24
1,4000,4000,-0.6569169302885726,-0.5443181277688895,-0.6013504011289464,-0.6578302884876485,15,11,16,24
1,4000,4000,-1.0790933530366689,-0.9516908210099059,-0.9296093111041795,-1.0830708718314463,15,11,16,24
1,4000,4000,-1.0618307590567866,-0.9578278573047856,-0.9818580469558811,-1.0639293910267957,15,11,16,24
1,4000,4000,-0.8338336658060098,-0.7190014454235321,-0.7543890737512161,-0.8379591109565235,15,11,16,24
1,4000,4000,-0.7888872307177508,-0.6919220182265808,-0.7294324861146847,-0.79201135372928,15,11,16,24
1,4000,4000,-0.91050760661503,-0.7841179806264104,-0.8113326583226199,-0.9129453590218299,15,11,16,24
1,4000,4000,-1.007933546216102,-0.8964226579208171,-0.9265660365172298,-1.0106353546799427,15,11,16,24
1,4000,4000,-0.8013108432490226,-0.6829230348324054,-0.7463782080165424,-0.8033029385362674,15,11,16,24
1,4000,4000,-0.9989616918504598,-0.8895772199227995,-0.9198287012070782,-1.0039832784246774,15,11,16,24
1,4000,4000,-1.0003928121736108,-0.8697002816619251,-0.9145918603879313,-1.0058280414452783,15,11,16,24
1,4000,4000,-0.9646593849295914,-0.8257302236488776,-0.8359395405422738,-0.966839105958246,15,11,16,24
1,4000,4000,-0.7415132904856137,-0.6284008942388446,-0.6663266743066447,-0.746362009623057,15,11,16,24
1,4000,4000,-0.7072522865966566,-0.6086727564540465,-0.6582870122929735,-0.7112305355958161,15,11,16,24
1,4000,4000,-0.7456588194605243,-0.632266802245555,-0.7039397322502478,-0.7545091262669894,15,11,16,24
1,4000,4000,-0.842969839086209,-0.736424330231152,-0.7783588846213124,-0.8441291730873822,15,11,16,24
1,4000,4000,-0.8736982804339527,-0.7581823382650864,-0.8048469734734208,-0.8778405958135636,15,11,16,24
1,4000,4000,-0.7643581716763956,-0.6473861691712682,-0.6832013197591073,-0.7679814890876032,15,11,16,24
1,4000,4000,-0.7552738358940997,-0.6435024338067351,-0.6569684559946154,-0.7582147996556814,15,11,16,24
1,4000,4000,-1.0207421223826996,-0.9017868396536988,-0.9333400726568212,-1.026038612222074,15,11,16,24
1,4000,4000,-0.7914621469808198,-0.6847014890864661,-0.7374080830778448,-0.7943645031060323,15,11,16,24
1,4000,4000,-0.7835290642493588,-0.6806413551455698,-0.7119510762608556,-0.7866114594958477,15,11,16,24
1,4000,4000,-0.786350384714377,-0.6773121129239389,-0.7114566417284587,-0.788111184216868,15,11,16,24
1,4000,4000,-0.8267994994742257,-0.7083876147517021,-0.7321675333391722,-0.8302945657615897,15,11,16,24
1,4000,4000,-0.9085268364089562,-0.7848674148023465,-0.8327146413759114,-0.9131019310081155,15,11,16,24
1,4000,4000,-1.1235125941234314,-1.0097706015413541,-1.0337424222265468,-1.1278978552240855,15,11,16,24
